50
0.720833507057035 + i0.000000000000000
0.721004481192760 + i0.000000000000000
0.720723144108136 + i0.000000000000000
0.719715567137030 + i0.000000000000000
0.717782449443043 + i0.000000000000000
0.714793563267028 + i0.000000000000000
0.710671124033941 + i0.000000000000000
0.705375014457680 + i0.000000000000000
0.698892376550036 + i0.000000000000000
0.691231190689927 + i0.000000000000000
0.682416788242660 + i0.000000000000000
0.672490265782271 + i0.000000000000000
0.661507965349922 + i0.000000000000000
0.649541386826184 + i0.000000000000000
0.636677065447523 + i0.000000000000000
0.623016083329020 + i0.000000000000000
0.608673001411880 + i0.000000000000000
0.593774107099363 + i0.000000000000000
0.578454975852869 + i0.000000000000000
0.562857438899639 + i0.000000000000000
0.547126126803637 + i0.000000000000000
0.531404811984224 + i0.000000000000000
0.515832796440602 + i0.000000000000000
0.500541582272096 + i0.000000000000000
0.485652025400509 + i0.000000000000000
0.471272114890955 + i0.000000000000000
0.457495451727729 + i0.000000000000000
0.444400432482798 + i0.000000000000000
0.432050083971655 + i0.000000000000000
0.420492450646333 + i0.000000000000000
0.409761409593160 + i0.000000000000000
0.399877777982382 + i0.000000000000000
0.390850581896259 + i0.000000000000000
0.382678369796523 + i0.000000000000000
0.375350474513086 + i0.000000000000000
0.368848151156041 + i0.000000000000000
0.363145542303001 + i0.000000000000000
0.358210444853311 + i0.000000000000000
0.354004874418776 + i0.000000000000000
0.350485443852508 + i0.000000000000000
0.347603591544419 + i0.000000000000000
0.345305718281666 + i0.000000000000000
0.343533304959811 + i0.000000000000000
0.342223132393186 + i0.000000000000000
0.341307678979503 + i0.000000000000000
0.340716030252159 + i0.000000000000000
0.340375025818349 + i0.000000000000000
0.340212450326461 + i0.000000000000000
0.340158290016985 + i0.000000000000000
0.340158290016970 + i0.000000000000000
